"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 09 11:42:49 GMT 2022","Fri Dec 09 11:43:02 GMT 2022","12141","","I. Create team","","","","should create new team",""
"failed","Fri Dec 09 11:41:12 GMT 2022","Fri Dec 09 11:41:24 GMT 2022","12317","","D. Create lessons","","","","should create lesson(text)",""
"passed","Fri Dec 09 11:42:20 GMT 2022","Fri Dec 09 11:42:32 GMT 2022","11689","","H. Create curriculum","","","","should create curriculum",""
"failed","Fri Dec 09 11:43:10 GMT 2022","Fri Dec 09 11:43:16 GMT 2022","5327","","J. Complete the course which we have created in previous tests","","","","should ",""
"failed","Fri Dec 09 11:43:57 GMT 2022","Fri Dec 09 11:44:02 GMT 2022","4480","","M. Assert answers were checked by teacher","","","","assert that answers were created",""
"passed","Fri Dec 09 11:44:55 GMT 2022","Fri Dec 09 11:44:59 GMT 2022","4440","","A. Categories List","","","","should create Category)",""
"passed","Fri Dec 09 11:39:55 GMT 2022","Fri Dec 09 11:40:00 GMT 2022","4903","","A. Login test","","","","should show landing page",""
"passed","Fri Dec 09 11:41:46 GMT 2022","Fri Dec 09 11:41:56 GMT 2022","10419","","F. Create course","","","","should create course",""
"failed","Fri Dec 09 11:44:59 GMT 2022","Fri Dec 09 11:45:03 GMT 2022","3595","","A. Categories List","","","","should delete Category)",""
"failed","Fri Dec 09 11:44:16 GMT 2022","Fri Dec 09 11:44:24 GMT 2022","8443","","N. Clear all created learning items","","","","delete QA course",""
"passed","Fri Dec 09 11:40:10 GMT 2022","Fri Dec 09 11:40:21 GMT 2022","10369","","B. Register user","","","","can generate a new email address and sign up",""
"failed","Fri Dec 09 11:44:06 GMT 2022","Fri Dec 09 11:44:16 GMT 2022","9613","","N. Clear all created learning items","","","","delete QA lessons",""
"failed","Fri Dec 09 11:42:32 GMT 2022","Fri Dec 09 11:42:42 GMT 2022","10676","","H. Create curriculum","","","","should delete curriculum",""
"failed","Fri Dec 09 11:44:24 GMT 2022","Fri Dec 09 11:44:33 GMT 2022","8840","","N. Clear all created learning items","","","","delete QA curriculum",""
"passed","Fri Dec 09 11:41:33 GMT 2022","Fri Dec 09 11:41:40 GMT 2022","7617","","E. Profile editing","","","","should assert profile page",""
"failed","Fri Dec 09 11:40:58 GMT 2022","Fri Dec 09 11:41:11 GMT 2022","13178","","D. Create lessons","","","","should create lesson(checkbox + radio)",""
"failed","Fri Dec 09 11:43:43 GMT 2022","Fri Dec 09 11:43:49 GMT 2022","5575","","L. Check student answers","","","","Check first answer",""
"passed","Fri Dec 09 11:40:00 GMT 2022","Fri Dec 09 11:40:04 GMT 2022","3145","","A. Login test","","","","should move to login page and log in",""
"passed","Fri Dec 09 11:42:01 GMT 2022","Fri Dec 09 11:42:14 GMT 2022","13533","","G. Create course group","","","","should create course program",""
"failed","Fri Dec 09 11:44:33 GMT 2022","Fri Dec 09 11:44:42 GMT 2022","8928","","N. Clear all created learning items","","","","delete QA course group",""
