"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Dec 07 13:43:21 GMT 2022","Wed Dec 07 13:44:14 GMT 2022","52611","","D. Create lessons","","","","should create lesson(checkbox + radio)",""
"passed","Wed Dec 07 13:42:51 GMT 2022","Wed Dec 07 13:43:02 GMT 2022","10666","","C. Invite user by 2 ways","","","","delete invited user",""
"passed","Wed Dec 07 13:44:14 GMT 2022","Wed Dec 07 13:44:35 GMT 2022","21662","","D. Create lessons","","","","should create lesson(text)",""
"passed","Wed Dec 07 13:42:20 GMT 2022","Wed Dec 07 13:42:30 GMT 2022","9194","","B. Register user","","","","can generate a new email address and sign up",""
"passed","Wed Dec 07 13:42:11 GMT 2022","Wed Dec 07 13:42:14 GMT 2022","2941","","A. Login test","","","","should move to login page and log in",""
"failed","Wed Dec 07 13:46:25 GMT 2022","Wed Dec 07 13:46:58 GMT 2022","32114","","J. Complete the course which we have created in previous tests","","","","should ",""
"failed","Wed Dec 07 13:49:59 GMT 2022","Wed Dec 07 13:50:40 GMT 2022","40541","","N. Clear all created learning items","","","","delete QA curriculum",""
"passed","Wed Dec 07 13:49:27 GMT 2022","Wed Dec 07 13:49:45 GMT 2022","17662","","N. Clear all created learning items","","","","delete QA lessons",""
"passed","Wed Dec 07 13:45:19 GMT 2022","Wed Dec 07 13:45:32 GMT 2022","12916","","G. Create course group","","","","should create course program",""
"passed","Wed Dec 07 13:42:06 GMT 2022","Wed Dec 07 13:42:11 GMT 2022","4633","","A. Login test","","","","should show landing page",""
"passed","Wed Dec 07 13:43:02 GMT 2022","Wed Dec 07 13:43:12 GMT 2022","10027","","C. Invite user by 2 ways","","","","should invite by admin tools",""
"passed","Wed Dec 07 13:49:45 GMT 2022","Wed Dec 07 13:49:59 GMT 2022","14386","","N. Clear all created learning items","","","","delete QA course",""
"failed","Wed Dec 07 13:48:48 GMT 2022","Wed Dec 07 13:49:19 GMT 2022","31245","","M. Assert answers were checked by teacher","","","","assert that answers were created",""
"passed","Wed Dec 07 13:50:40 GMT 2022","Wed Dec 07 13:50:53 GMT 2022","12544","","N. Clear all created learning items","","","","delete QA course group",""
"failed","Wed Dec 07 13:45:48 GMT 2022","Wed Dec 07 13:45:59 GMT 2022","10409","","H. Create curriculum","","","","should delete curriculum",""
"passed","Wed Dec 07 13:42:48 GMT 2022","Wed Dec 07 13:42:51 GMT 2022","3402","","C. Invite user by 2 ways","","","","accept invitation",""
"passed","Wed Dec 07 13:42:35 GMT 2022","Wed Dec 07 13:42:42 GMT 2022","6844","","C. Invite user by 2 ways","","","","should invite by user menu",""
"passed","Wed Dec 07 13:45:04 GMT 2022","Wed Dec 07 13:45:14 GMT 2022","9969","","F. Create course","","","","should create course",""
"failed","Wed Dec 07 13:48:02 GMT 2022","Wed Dec 07 13:48:35 GMT 2022","32507","","L. Check student answers","","","","Check first answer",""
"passed","Wed Dec 07 13:42:42 GMT 2022","Wed Dec 07 13:42:48 GMT 2022","5539","","C. Invite user by 2 ways","","","","getting last email",""
"passed","Wed Dec 07 13:45:37 GMT 2022","Wed Dec 07 13:45:48 GMT 2022","11223","","H. Create curriculum","","","","should create curriculum",""
"passed","Wed Dec 07 13:46:06 GMT 2022","Wed Dec 07 13:46:17 GMT 2022","11644","","I. Create team","","","","should create new team",""
"passed","Wed Dec 07 13:44:52 GMT 2022","Wed Dec 07 13:44:59 GMT 2022","7531","","E. Profile editing","","","","should assert profile page",""
